"year","grid","num_trees","cone_counts","cone_index_t","cone_index_tm1","total_cones"
1988,"KL",133,51.781954887218,3.09908301104899,NA,163.023
1988,"SU",83,38.710843373494,2.77092789962632,NA,118.379
1989,"KL",144,0,0,3.09908301104899,0.006
1989,"SU",87,0,0,2.77092789962632,0.006
1990,"KL",143,41.3216783216783,2.25078386855408,0,135.653
1990,"SU",87,28.3793103448276,1.67056379046545,0,92.826
1991,"CH",86,1.58139534883721,0.402702845094456,NA,3.299
1991,"KL",168,1.45238095238095,0.396017825088179,2.25078386855408,3.11
1991,"SU",85,0.152941176470588,0.0666230644721876,1.67056379046545,0.262
1992,"CH",84,39.6309523809524,2.06634439579422,0.402702845094456,138.272
1992,"KL",164,100.768292682927,3.53674678805725,0.396017825088179,375.681
1992,"SU",86,51.4418604651163,2.69214334117669,0.0666230644721876,171.999
1993,"CH",86,12.0813953488372,1.42884145269951,2.06634439579422,33.523
1993,"KL",167,300.497005988024,5.08936489946811,3.53674678805725,1258.262
1993,"SU",86,140.96511627907,3.98814527875725,2.69214334117669,542.483
1994,"CH",86,6.5,0.657525384990137,1.42884145269951,17.921
1994,"KL",166,1.80120481927711,0.380323760999794,5.08936489946811,4.057
1994,"SU",86,0.558139534883721,0.250343175642539,3.98814527875725,0.935
1995,"CH",86,151.046511627907,3.67661009310252,0.657525384990137,605.391
1995,"KL",168,133.875,3.66826977732922,0.380323760999794,505.712
1995,"SU",85,77.4,2.85455254393493,0.250343175642539,287.222
1996,"KL",168,82.0535714285714,3.32192580410932,3.66826977732922,289.393
1996,"SU",86,55.2790697674419,2.78712991518421,2.85455254393493,191.163
1997,"KL",167,52.4311377245509,2.87297988785229,3.32192580410932,168.252
1997,"SU",86,25.1860465116279,1.76386032264653,2.78712991518421,78.474
1998,"KL",84,343.154761904762,5.16949592671395,2.87297988785229,1474.074
1998,"SU",86,225.104651162791,4.54641950895738,1.76386032264653,925.272
1999,"KL",84,60.5238095238095,2.49944670570954,5.16949592671395,209.839
1999,"SU",86,8.67441860465116,1.325573366756,4.54641950895738,22.025
2000,"KL",84,2.29761904761905,0.45515261078311,2.49944670570954,5.344
2000,"SU",86,1.76744186046512,0.226007541200539,1.325573366756,4.918
2001,"KL",85,27.4588235294118,2.05096907697608,0.45515261078311,81.405
2001,"SU",86,12.3372093023256,1.21606181644009,0.226007541200539,34.465
2002,"KL",85,49.3529411764706,2.3552135560017,2.05096907697608,165.992
2002,"SU",86,21.3488372093023,1.48459025636092,1.21606181644009,68.024
2003,"KL",85,12.7647058823529,1.3867000734311,2.3552135560017,34.665
2003,"SU",86,4.72093023255814,0.485929167142752,1.48459025636092,13.203
2004,"KL",84,15.0595238095238,1.17071970147084,1.3867000734311,46.097
2004,"SU",86,10.2093023255814,0.91907742081358,0.485929167142752,30.067
2005,"KL",84,207.869047619048,4.18267142654033,1.17071970147084,858.347
2005,"SU",86,113.581395348837,2.54815919504746,0.91907742081358,468.052
2006,"CH",127,2.80314960629921,0.486643758533918,NA,6.726
2006,"KL",84,1.45238095238095,0.159305309230172,4.18267142654033,3.929
2006,"SU",86,1.12790697674419,0.253066354566967,2.54815919504746,2.426
2007,"CH",127,39.8031496062992,2.00019009953164,0.486643758533918,132.811
2007,"KL",84,38.5357142857143,1.96485016856578,0.159305309230172,132.088
2007,"SU",86,15.6627906976744,1.30972208855191,0.253066354566967,45.728
2008,"CH",127,5.10236220472441,0.657574444920065,2.00019009953164,13.65
2008,"KL",84,12.0833333333333,0.775111227419282,1.96485016856578,43.465
2008,"SU",86,3.05813953488372,0.458215034498528,1.30972208855191,8.211
2009,"CH",125,13.232,1.13824921434209,0.657574444920065,39.582
2009,"KL",84,29.25,1.74604863099651,0.775111227419282,93.163
2009,"SU",86,12.5348837209302,1.01632111975453,0.458215034498528,38.197
2010,"CH",126,264.865079365079,4.629090908501,1.13824921434209,1115.418
2010,"KL",81,415.765432098765,5.12964811947721,1.74604863099651,1871.957
2010,"SU",86,269.651162790698,4.71983833004188,1.01632111975453,1155.84
2011,"CH",126,1.11111111111111,0.290589729297335,4.629090908501,2.353
2011,"KL",84,0.0238095238095238,0.0165035042990463,5.12964811947721,0.037
2011,"SU",86,0.0465116279069767,0.0187143943306291,4.71983833004188,0.085
2012,"CH",76,30.2894736842105,2.07298215399241,0.290589729297335,96.543
2012,"KL",84,39.5952380952381,2.26224554550813,0.0165035042990463,129.998
2012,"SU",77,12.4285714285714,1.05011523969894,0.0187143943306291,36.241
2013,"CH",80,54.625,3.14077058741103,2.07298215399241,172.953
2013,"KL",84,46.8095238095238,2.58606650714206,2.26224554550813,152.574
2013,"SU",83,20.6265060240964,2.06010515786152,1.05011523969894,59.005
2014,"CH",81,304.456790123457,5.26162690822596,3.14077058741103,1269.146
2014,"KL",80,345.5875,5.01362327092466,2.58606650714206,1496.201
2014,"SU",79,79.7974683544304,3.85827643286645,2.06010515786152,263.342
2015,"CH",81,0,0,5.26162690822596,0.006
2015,"KL",84,0,0,5.01362327092466,0.006
2015,"SU",83,0,0,3.85827643286645,0.006
2016,"CH",81,3.65432098765432,0.719148064661382,0,8.206
2016,"KL",84,1.14285714285714,0.314072879827348,0,2.342
2016,"SU",83,1.5421686746988,0.419754976854069,0,3.118
2017,"CH",100,19.15,1.90874069053398,0.719148064661382,55.116
2017,"KL",84,21.4285714285714,2.04476444590038,0.314072879827348,60.19
2017,"SU",86,15.4651162790698,1.47066329700388,0.419754976854069,44.479
2018,"CH",81,0.555555555555556,0.188447670049598,1.90874069053398,1.058
2018,"KL",84,2.07142857142857,0.488709492982028,2.04476444590038,4.477
2018,"SU",83,0.831325301204819,0.247520837372256,1.47066329700388,1.639
2019,"CH",106,517.056603773585,5.7704883969405,0.188447670049598,2376.632
2019,"KL",84,729.428571428572,5.80099961188205,0.488709492982028,3648.279
2019,"SU",87,488.241379310345,5.20615099117919,0.247520837372256,2333.26
2020,"CH",81,1.90123456790123,0.40689042410657,5.7704883969405,4.328
2020,"KL",84,12.9880952380952,1.07642460773976,5.80099961188205,44.317
2020,"SU",83,7.55421686746988,1.23350998361712,5.20615099117919,18.315
2021,"CH",100,1.46,0.179676710955631,0.40689042410657,3.903
2021,"KL",84,0.119047619047619,0.0356634794470713,1.07642460773976,0.236
2021,"SU",86,0.186046511627907,0.0765029210698849,1.23350998361712,0.329
2022,"CH",96,556.53125,5.9004763331704,0.179676710955631,2604.755
2022,"KL",84,592.202380952381,5.58254500827573,0.0356634794470713,2848.786
2022,"SU",86,521.802325581395,5.57821205156016,0.0765029210698849,2459.652
2023,"CH",100,0.37,0.138779669128975,5.9004763331704,0.672
2023,"KL",84,1.96428571428571,0.525690153155618,5.58254500827573,4.085
2023,"SU",86,5.32558139534884,1.03667515853663,5.57821205156016,12.043
2024,"CH",100,24.56,2.31234311765187,0.138779669128975,69.814
2024,"KL",84,21.8333333333333,2.0977033604105,0.525690153155618,62.483
2024,"SU",86,15.1860465116279,1.74371018492743,1.03667515853663,41.215
